Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
53,Disney,Media,Entertainment,"Burbank, CA",52465,8382,185000
96,Twenty-First Century Fox,Media,Entertainment,"New York, NY",28987,8306,20500
99,Time Warner,Media,Entertainment,"New York, NY",28118,3833,24800
203,CBS,Media,Entertainment,"New York, NY",13886,1413,19080
213,Viacom,Media,Entertainment,"New York, NY",13268,1922,9445
366,Live Nation Entertainment,Media,Entertainment,"Beverly Hills, CA",7246,-33,12200
406,Discovery Communications,Media,Entertainment,"Silver Spring, MD",6394,1034,7000
414,iHeartMedia,Media,Entertainment,"San Antonio, TX",6242,-755,18700
525,Liberty Media,Media,Entertainment,"Englewood, CO",4795,64,3503
681,TEGNA,Media,Entertainment,"McLean, VA",3242,460,10020
705,Regal Entertainment Group,Media,Entertainment,"Knoxville, TN",3127,153,25915
722,Scripps Networks Interactive,Media,Entertainment,"Knoxville, TN",3018,607,3500
741,Warner Music Group,Media,Entertainment,"New York, NY",2966,-91,4211
759,Univision Communications,Media,Entertainment,"New York, NY",2858,-45,3700
762,Cinemark Holdings,Media,Entertainment,"Plano, TX",2853,217,17649
821,AMC Networks,Media,Entertainment,"New York, NY",2581,367,2341
913,Sinclair Broadcast Group,Media,Entertainment,"Hunt Valley, MD",2219,172,8000
969,Tribune Media,Media,Entertainment,"Chicago, IL",2011,-320,8000
255,R.R. Donnelley & Sons,Media,"Publishing, Printing","Chicago, IL",11257,151,68400
327,News Corp.,Media,"Publishing, Printing","New York, NY",8633,-147,25000
530,Quad/Graphics,Media,"Publishing, Printing","Sussex, WI",4678,-642,22500
707,Time,Media,"Publishing, Printing","New York, NY",3103,-881,7200
752,Gannett,Media,"Publishing, Printing","McLean, VA",2885,146,18700
968,American Greetings,Media,"Publishing, Printing","Cleveland, OH",2011,65,17650
989,Cenveo,Media,"Publishing, Printing","Stamford, CT",1921,-31,7300
193,NRG Energy,Energy,Energy,"Princeton, NJ",14674,-6382,10468
364,Williams,Energy,Energy,"Tulsa, OK",7360,-571,6578
384,UGI,Energy,Energy,"King of Prussia, PA",6691,281,13570
402,Calpine,Energy,Energy,"Houston, TX",6472,235,2209
475,Energy Future Holdings,Energy,Energy,"Dallas, TX",5370,-5342,8860
558,MDU Resources Group,Energy,Energy,"Bismarck, ND",4376,-622,8689
606,Dynegy,Energy,Energy,"Houston, TX",3870,50,2591
633,First Solar,Energy,Energy,"Tempe, AZ",3579,546,6350
742,Green Plains,Energy,Energy,"Omaha, NE",2966,7,995
784,New Jersey Resources,Energy,Energy,"Wall, NJ",2734,181,991
802,WGL Holdings,Energy,Energy,"Washington, DC",2660,131,1529
810,Crestwood Equity Partners,Energy,Energy,"Houston, TX",2633,-1667,1300
879,EQT,Energy,Energy,"Pittsburgh, PA",2340,85,1914
962,Ferrellgas Partners,Energy,Energy,"Overland Park, KS",2024,30,4028
65,Energy Transfer Equity,Energy,Pipelines,"Dallas, TX",42126,1189,30078
104,Enterprise Products Partners,Energy,Pipelines,"Houston, TX",27028,2521,6800
121,Plains GP Holdings,Energy,Pipelines,"Houston, TX",23152,118,5400
198,Kinder Morgan,Energy,Pipelines,"Houston, TX",14403,253,11290
348,Oneok,Energy,Pipelines,"Tulsa, OK",7763,245,2364
